113.162.145.156	111	0
157.39.22.224	5	6
79.180.73.190	2	1
179.210.145.4	22	0
219.102.120.135	486	0
67.232.81.208	1	0
85.254.10.197	0	7
23.240.215.189	6	0
1.29.168.152	17	0
185.69.186.168	1	3
110.152.103.161	0	1
185.182.81.131	1	1
68.45.152.8	2	0
114.221.179.117	0	1
185.89.100.249	752	0
1.70.113.73	1	0
188.68.0.38	1	0
119.42.115.97	11	0
194.106.108.214	0	3
24.210.239.177	1	0
166.88.193.116	9	0
62.205.202.214	0	2
188.166.87.191	0	50
103.62.147.2	1	6
95.182.177.12	1	0
95.182.177.197	1	0
149.107.0.27	3	0
182.186.69.18	96	0
73.21.168.251	2	0
113.190.198.73	3	0
91.15.15.33	9	0
188.72.96.184	30	0
50.254.198.161	2	0